feedback_id,department,role,rating,feedback_text,date
1,Engineering,Software Engineer,4,"Good work culture but deadlines are sometimes tight",2024-01-15
2,Engineering,Software Engineer,2,"High workload and frequent last-minute changes",2024-01-20
3,HR,HR Executive,3,"Processes are fine but tools could be improved",2024-02-05
4,Marketing,Marketing Analyst,5,"Supportive management and collaborative environment",2024-02-10
5,Operations,Operations Manager,2,"Operational pressure and lack of staffing affects productivity",2024-02-18
6,Engineering,Software Engineer,1,"Long working hours and unrealistic expectations",2024-03-02
7,Finance,Financial Analyst,4,"Clear goals and structured workflows",2024-03-10
8,Marketing,Marketing Analyst,3,"Growth opportunities exist but training is limited",2024-03-18
9,HR,HR Executive,2,"Manual processes increase workload and delays",2024-03-25
10,Operations,Operations Manager,4,"Team cooperation is good but tools need modernization",2024-04-01
